text,run_loop.thisRepN,run_loop.thisTrialN,run_loop.thisN,run_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
Both Feet,0,0,0,0,0,0,0,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,0,1,1,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,0,2,2,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,0,3,3,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,0,0,0,0,1,0,4,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,1,1,5,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,1,2,6,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,1,3,7,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,2,0,8,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,0,0,0,0,2,1,9,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,2,2,10,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,2,3,11,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,3,0,12,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,3,1,13,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,3,2,14,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,0,0,0,0,3,3,15,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,4,0,16,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,4,1,17,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,4,2,18,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,4,3,19,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,5,0,20,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,5,1,21,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,0,0,0,0,5,2,22,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,5,3,23,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,6,0,24,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,0,0,0,0,6,1,25,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,0,0,0,0,6,2,26,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,0,0,0,0,6,3,27,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,7,0,28,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,0,0,0,0,7,1,29,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,7,2,30,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,7,3,31,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,0,0,0,0,8,0,32,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,8,1,33,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,8,2,34,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,8,3,35,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,0,0,0,0,9,0,36,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,9,1,37,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,0,0,0,0,9,2,38,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,0,0,0,0,9,3,39,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
,0,0,0,0,,,,,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,1,0,1,0,0,0,0,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,1,0,1,0,0,1,1,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,1,0,1,0,0,2,2,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,1,0,1,0,0,3,3,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,1,0,1,0,1,0,4,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,1,0,1,0,1,1,5,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Feet,1,0,1,0,1,2,6,3,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,1,0,1,0,1,3,7,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,1,0,1,0,2,0,8,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,1,0,1,0,2,1,9,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Right Hand,1,0,1,0,2,2,10,1,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,1,0,1,0,2,3,11,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Both Hands,1,0,1,0,3,0,12,2,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
Left Hand,1,0,1,0,3,1,13,0,,001,2019_Apr_03_1119,EEG protocol,3.0.6,60.00886165955928,
